0087597823,REGION LIMOUSIN,23
0087611749,REGION MIDI PYRENEES,32
0087317230,REGION NORD PAS DE CALAIS,62
0087444059,REGION NORMANDIE,14
0087281428,REGION NORD PAS DE CALAIS,62
0087194357,REGION LORRAINE,54
0087415158,REGION NORMANDIE,76
0087562421,REGION AUVERGNE,63
0087271411,REGION DE PARIS-NORD,93
0087295600,REGION NORD PAS DE CALAIS,59
0087313767,REGION PICARDIE,76
0087783266,REGION LANGUEDOC-ROUSSILLON,48
0087545657,REGION DE PARIS RIVE GAUCHE,28
0087476200,REGION BRETAGNE,56
0087726760,REGION AUVERGNE,43
0087645002,REGION AUVERGNE,15
0087611384,REGION MIDI PYRENEES,31
0087694570,REGION BOURGOGNE FRANCHE-COMTE,71
0087276543,REGION DE PARIS-NORD,95
0087683573,REGION DE PARIS-SUD-EST,89
0087713347,REGION BOURGOGNE FRANCHE-COMTE,21
0087683789,REGION DE PARIS-SUD-EST,89
0087171579,REGION CHAMPAGNE-ARDENNE,51
0087543207,REGION DE PARIS RIVE GAUCHE,75
0087381038,REGION DE PARIS RIVE GAUCHE,75
0087381046,REGION DE PARIS RIVE GAUCHE,75
0087295725,REGION NORD PAS DE CALAIS,59
0087295733,REGION NORD PAS DE CALAIS,59
0087765008,REGION PROVENCE ALPES COTE D'AZUR,84
0087318964,REGION PROVENCE ALPES COTE D'AZUR,84
0087981902,REGION PROVENCE ALPES COTE D'AZUR,84
0087616011,REGION MIDI PYRENEES,31
0087342584,REGION NORD PAS DE CALAIS,62
0087576439,REGION CENTRE,18
0087718551,REGION BOURGOGNE FRANCHE-COMTE,25
0087448514,REGION NORMANDIE,50
0087313296,REGION DE PARIS-NORD,60
0087611533,REGION MIDI PYRENEES,09
0087171561,REGION CHAMPAGNE-ARDENNE,51
0087437806,REGION POITOU-CHARENTES AQUITAINE,17
0087571638,REGION CENTRE,37
0087574442,REGION CENTRE,37
0087141408,REGION LORRAINE,54
0087590349,REGION PAYS DE LA LOIRE,44
0087141416,REGION LORRAINE,54
0087613604,REGION MIDI PYRENEES,46
0087684191,REGION DE PARIS-SUD-EST,77
0087783647,REGION LANGUEDOC-ROUSSILLON,48
0087773457,REGION LANGUEDOC-ROUSSILLON,34
0087394411,REGION DE PARIS RIVE GAUCHE,28
0087286179,REGION NORD PAS DE CALAIS,59
0087342592,REGION NORD PAS DE CALAIS,62
0087144147,REGION LORRAINE,88
0087286872,REGION NORD PAS DE CALAIS,59
0087313569,REGION DE PARIS-NORD,60
0087726869,REGION RHONE-ALPES,42
0087571604,REGION CENTRE,37
0087681437,REGION DE PARIS-SUD-EST,91
0087111864,REGION LANGUEDOC-ROUSSILLON,48
0087783324,REGION LANGUEDOC-ROUSSILLON,48
0087755223,REGION PROVENCE ALPES COTE D'AZUR,83
0087474189,REGION BRETAGNE,29
0087182840,REGION ALSACE,68
0087784298,REGION LANGUEDOC-ROUSSILLON,66
0087175042,REGION LORRAINE,55
0087118299,REGION CHAMPAGNE-ARDENNE,10
0087615757,REGION MIDI PYRENEES,12
0087411264,REGION NORMANDIE,76
0087297291,REGION PICARDIE,02
0087783563,REGION LANGUEDOC-ROUSSILLON,48
0087192658,REGION LORRAINE,55
0087214247,REGION ALSACE,67
0087582759,REGION POITOU-CHARENTES AQUITAINE,33
0087182113,REGION ALSACE,68
0087726778,REGION AUVERGNE,43
0087184200,REGION ALSACE,90
0087191601,REGION LORRAINE,57
0087581850,REGION POITOU-CHARENTES AQUITAINE,33
0087481770,REGION PAYS DE LA LOIRE,44
0087574152,REGION CENTRE,45
0087718460,REGION BOURGOGNE FRANCHE-COMTE,25
0087345280,REGION NORD PAS DE CALAIS,59
0087444067,REGION NORMANDIE,14
0087141218,REGION LORRAINE,54
0087673004,REGION POITOU-CHARENTES AQUITAINE,64
0087171462,REGION CHAMPAGNE-ARDENNE,51
0087611723,REGION MIDI PYRENEES,31
0087696468,REGION AUVERGNE,58
0087317610,REGION NORD PAS DE CALAIS,62
0087775023,REGION LANGUEDOC-ROUSSILLON,30
0087574160,REGION CENTRE,45
0087756379,REGION PROVENCE ALPES COTE D'AZUR,06
0087387183,REGION NORMANDIE,27
0087713545,REGION BOURGOGNE FRANCHE-COMTE,21
0087317198,REGION NORD PAS DE CALAIS,62
0087582700,REGION POITOU-CHARENTES AQUITAINE,33
0087313510,REGION DE PARIS-NORD,60
0087485342,REGION POITOU-CHARENTES AQUITAINE,79
0087775809,REGION LANGUEDOC-ROUSSILLON,30
0087382002,REGION DE PARIS SAINT-LAZARE,92
0087781609,REGION LANGUEDOC-ROUSSILLON,34
0087765198,REGION PROVENCE ALPES COTE D'AZUR,84
0087672774,REGION POITOU-CHARENTES AQUITAINE,64
0087581801,REGION POITOU-CHARENTES AQUITAINE,33
0087491076,REGION POITOU-CHARENTES AQUITAINE,17
0087184002,REGION ALSACE,90
0087300822,REGION LORRAINE,90
0087592485,REGION LIMOUSIN,87
0087473165,REGION BRETAGNE,22
0087745000,REGION ALPES,01
0087641068,REGION AUVERGNE,03
0087141804,REGION LORRAINE,54
0087721357,REGION RHONE-ALPES,69
0087486142,REGION PAYS DE LA LOIRE,85
0087393116,REGION DE PARIS RIVE GAUCHE,92
0087743526,REGION ALPES,01
0087276550,REGION DE PARIS-NORD,95
0087595876,REGION POITOU-CHARENTES AQUITAINE,24
0087783670,REGION LANGUEDOC-ROUSSILLON,48
0087476408,REGION BRETAGNE,56
0087784892,REGION LANGUEDOC-ROUSSILLON,66
0087673285,REGION POITOU-CHARENTES AQUITAINE,40
0087192302,REGION LORRAINE,57
0087214122,REGION ALSACE,67
0087576447,REGION CENTRE,18
0087193250,REGION LORRAINE,57
0087584268,REGION POITOU-CHARENTES AQUITAINE,24
0087281105,REGION NORD PAS DE CALAIS,59
0087295808,REGION NORD PAS DE CALAIS,59
0087444299,REGION NORMANDIE,27
0087592352,REGION LIMOUSIN,87
0087215335,REGION ALSACE,57
0087141424,REGION LORRAINE,54
0087345553,REGION NORD PAS DE CALAIS,59
0087300863,REGION LORRAINE,25
0087718015,REGION BOURGOGNE FRANCHE-COMTE,25
0087718007,REGION BOURGOGNE FRANCHE-COMTE,25
0087471219,REGION BRETAGNE,44
0087276642,REGION DE PARIS-NORD,95
0087696336,REGION AUVERGNE,03
0087594747,REGION LIMOUSIN,46
0087342006,REGION NORD PAS DE CALAIS,62
0087471045,REGION BRETAGNE,35
0087343160,REGION NORD PAS DE CALAIS,59
0087342402,REGION NORD PAS DE CALAIS,62
0087393363,REGION DE PARIS RIVE GAUCHE,78
0087723544,REGION RHONE-ALPES,01
0087781005,REGION LANGUEDOC-ROUSSILLON,34
0087342097,REGION NORD PAS DE CALAIS,62
0087673400,REGION POITOU-CHARENTES AQUITAINE,64
0087328328,REGION DE PARIS RIVE GAUCHE,75
0087673699,REGION POITOU-CHARENTES AQUITAINE,64
0087393546,REGION DE PARIS RIVE GAUCHE,91
0087582478,REGION POITOU-CHARENTES AQUITAINE,33
0087576306,REGION CENTRE,18
0087345140,REGION NORD PAS DE CALAIS,62
0087757690,REGION PROVENCE ALPES COTE D'AZUR,06
0087212308,REGION ALSACE,67
0087214296,REGION ALSACE,67
0087213611,REGION ALSACE,67
0087182576,REGION ALSACE,68
0087141135,REGION LORRAINE,54
0087713073,REGION BOURGOGNE FRANCHE-COMTE,21
0087313809,REGION PICARDIE,76
0087317248,REGION NORD PAS DE CALAIS,62
0087581728,REGION POITOU-CHARENTES AQUITAINE,33
0087694612,REGION BOURGOGNE FRANCHE-COMTE,71
0087574475,REGION CENTRE,37
0087574004,REGION CENTRE,41
0087444380,REGION NORMANDIE,14
0087726471,REGION RHONE-ALPES,42
0087172049,REGION CHAMPAGNE-ARDENNE,08
0087296269,REGION PICARDIE,02
0087684407,REGION DE PARIS-SUD-EST,91
0087381079,REGION DE PARIS SAINT-LAZARE,92
0087721787,REGION RHONE-ALPES,69
0087682203,REGION DE PARIS-SUD-EST,77
0087342071,REGION NORD PAS DE CALAIS,62
0087543082,REGION DE PARIS RIVE GAUCHE,45
0087645184,REGION AUVERGNE,15
0087682518,REGION DE PARIS-SUD-EST,77
0087381152,REGION DE PARIS SAINT-LAZARE,95
0087413351,REGION NORMANDIE,76
0087764357,REGION PROVENCE ALPES COTE D'AZUR,84
0087182709,REGION ALSACE,68
0087142224,REGION CHAMPAGNE-ARDENNE,52
0087784801,REGION LANGUEDOC-ROUSSILLON,66
0087113407,REGION DE PARIS-EST,93
0087478065,REGION BRETAGNE,35
0087545731,REGION DE PARIS RIVE GAUCHE,28
0087746339,REGION ALPES,74
0087415893,REGION DE PARIS SAINT-LAZARE,78
0087745596,REGION ALPES,74
0087726414,REGION RHONE-ALPES,42
0087276444,REGION DE PARIS-NORD,60
0087581009,REGION POITOU-CHARENTES AQUITAINE,33
0087491019,REGION POITOU-CHARENTES AQUITAINE,17
0087276717,REGION DE PARIS-NORD,60
0087481200,REGION PAYS DE LA LOIRE,44
0087673095,REGION POITOU-CHARENTES AQUITAINE,64
0087345389,REGION NORD PAS DE CALAIS,59
0087775346,REGION LANGUEDOC-ROUSSILLON,30
0087276485,REGION DE PARIS-NORD,95
0087382440,REGION DE PARIS SAINT-LAZARE,78
0087543181,REGION DE PARIS RIVE GAUCHE,75
0087317016,REGION NORD PAS DE CALAIS,62
0087317586,REGION NORD PAS DE CALAIS,62
0087757534,REGION PROVENCE ALPES COTE D'AZUR,83
0087545178,REGION DE PARIS RIVE GAUCHE,91
0087281279,REGION NORD PAS DE CALAIS,59
0087214775,REGION ALSACE,67
0087743005,REGION ALPES,01
0087784876,REGION LANGUEDOC-ROUSSILLON,66
0087741793,REGION ALPES,73
0087576207,REGION CENTRE,18
0087481242,REGION PAYS DE LA LOIRE,44
0087723429,REGION RHONE-ALPES,38
0087415323,REGION NORMANDIE,27
0087486324,REGION PAYS DE LA LOIRE,85
0087684118,REGION DE PARIS-SUD-EST,77
0087481176,REGION PAYS DE LA LOIRE,44
0087611095,REGION MIDI PYRENEES,31
0087682138,REGION DE PARIS-SUD-EST,91
0087726216,REGION RHONE-ALPES,42
0087681478,REGION DE PARIS-SUD-EST,91
0087313213,REGION PICARDIE,80
0087615054,REGION MIDI PYRENEES,11
0087476242,REGION BRETAGNE,56
0087734244,REGION AUVERGNE,63
0087611822,REGION MIDI PYRENEES,31
0087713644,REGION BOURGOGNE FRANCHE-COMTE,21
0087413344,REGION NORMANDIE,76
0087345108,REGION NORD PAS DE CALAIS,62
0087756833,REGION PROVENCE ALPES COTE D'AZUR,06
0087182659,REGION ALSACE,68
0087473827,REGION BRETAGNE,22
0087487249,REGION PAYS DE LA LOIRE,79
0087474007,REGION BRETAGNE,29
0087471102,REGION BRETAGNE,35
