temperature_moyenne,nb_lost_item
-2.2499999999999996,1
-2.2375000000000003,5
-2.2375,7
-2.2125000000000004,1
-2.2125,1
-2.2,1
-2.1875,1
-2.1749999999999994,17
-2.1625,22
-2.1375,8
-2.1374999999999997,3
-2.125,23
-2.0999999999999996,22
-2.075,3
-2.0625,29
-2.05,8
-2.0375000000000005,1
-2.0374999999999996,7
-2.025,1
-2.0124999999999997,13
-2.0,5
-1.9999999999999998,4
-1.9749999999999999,1
-1.9625000000000001,15
-1.95,23
-1.9375,11
-1.9249999999999998,2
-1.9125,1
-1.9124999999999999,1
-1.9,3
-1.8875,1
-1.8799999999999997,1
-1.8750000000000004,1
-1.875,2
-1.8714285714285714,3
-1.8624999999999998,11
-1.85,14
-1.8499999999999999,8
-1.8375000000000001,5
-1.8375,11
-1.8285714285714287,2
-1.8250000000000002,1
-1.8142857142857145,4
-1.8125,31
-1.8000000000000003,6
-1.8,5
-1.7857142857142854,7
-1.7750000000000001,1
-1.775,5
-1.7625,1
-1.75,4
-1.7374999999999998,3
-1.7125000000000004,2
-1.7000000000000002,4
-1.6750000000000003,3
-1.675,11
-1.6749999999999998,6
-1.6625,8
-1.6500000000000001,1
-1.65,3
-1.6375,32
-1.6285714285714283,1
-1.625,5
-1.6125,2
-1.6,7
-1.5875,1
-1.5857142857142854,4
-1.5833333333333333,5
-1.5750000000000002,5
-1.575,7
-1.5749999999999997,3
-1.5625,2
-1.55,9
-1.5374999999999999,2
-1.5374999999999996,2
-1.5250000000000004,1
-1.5250000000000001,11
-1.525,28
-1.5125000000000002,12
-1.5,12
-1.4875,23
-1.475,23
-1.4625,5
-1.4571428571428573,2
-1.4500000000000002,5
-1.4499999999999997,9
-1.4375,5
-1.425,9
-1.4125,2
-1.4124999999999999,1
-1.4,7
-1.3999999999999997,1
-1.3875000000000002,5
-1.3875,6
-1.385714285714286,1
-1.3749999999999998,8
-1.3625000000000003,19
-1.3625,3
-1.3624999999999998,8
-1.3571428571428572,2
-1.35,20
-1.3375000000000001,2
-1.325,8
-1.3125,14
-1.2875,5
-1.275,3
-1.2625,6
-1.2624999999999997,1
-1.25,23
-1.2499999999999998,6
-1.2374999999999998,16
-1.225,5
-1.2249999999999999,9
-1.2125000000000001,13
-1.2125,28
-1.2000000000000002,9
-1.2,4
-1.1999999999999997,5
-1.1750000000000003,5
-1.175,4
